ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,PE,total_E
239,2.3899999999999968e-05,268.4217824935913,0,0,0.0,0.0,0.0,0.0,1.1669023656512527e-08,1.1669023656512527e-08
240,2.3999999999999967e-05,269.1279332637787,0,0,0.0,0.0,0.0,0.0,1.1669023656537094e-08,1.1669023656537094e-08
241,2.4099999999999966e-05,270.0824120044708,0,0,0.0,0.0,0.0,0.0,1.1669023656561036e-08,1.1669023656561036e-08
242,2.4199999999999965e-05,270.7062437534332,0,0,0.0,0.0,0.0,0.0,1.166902365658488e-08,1.166902365658488e-08
243,2.4299999999999964e-05,271.35402154922485,0,0,0.0,0.0,0.0,0.0,1.1669023656608297e-08,1.1669023656608297e-08
244,2.4399999999999963e-05,271.87837290763855,0,0,0.0,0.0,0.0,0.0,1.1669023656631484e-08,1.1669023656631484e-08
245,2.4499999999999962e-05,272.40001344680786,0,0,0.0,0.0,0.0,0.0,1.1669023656654356e-08,1.1669023656654356e-08
246,2.459999999999996e-05,273.08208751678467,0,0,0.0,0.0,0.0,0.0,1.1669023656676737e-08,1.1669023656676737e-08
247,2.469999999999996e-05,273.60503792762756,0,0,0.0,0.0,0.0,0.0,1.1669023656698894e-08,1.1669023656698894e-08
248,2.479999999999996e-05,274.1432936191559,0,0,0.0,0.0,0.0,0.0,1.1669023656720679e-08,1.1669023656720679e-08
249,2.4899999999999958e-05,274.7206404209137,0,0,0.0,0.0,0.0,0.0,1.1669023656742232e-08,1.1669023656742232e-08
250,2.4999999999999957e-05,275.24754333496094,0,0,0.0,0.0,0.0,0.0,1.1669023656763457e-08,1.1669023656763457e-08
251,2.5099999999999956e-05,275.796471118927,0,0,0.0,0.0,0.0,0.0,1.1669023656784408e-08,1.1669023656784408e-08
252,2.5199999999999955e-05,276.36444330215454,0,0,0.0,0.0,0.0,0.0,1.1669023656804907e-08,1.1669023656804907e-08
253,2.5299999999999954e-05,276.83678817749023,0,0,0.0,0.0,0.0,0.0,1.1669023656825344e-08,1.1669023656825344e-08
254,2.5399999999999953e-05,277.32424116134644,0,0,0.0,0.0,0.0,0.0,1.166902365684535e-08,1.166902365684535e-08
255,2.5499999999999952e-05,277.8368377685547,0,0,0.0,0.0,0.0,0.0,1.1669023656865068e-08,1.1669023656865068e-08
256,2.559999999999995e-05,278.34093379974365,0,0,0.0,0.0,0.0,0.0,1.166902365688462e-08,1.166902365688462e-08
257,2.569999999999995e-05,278.8625042438507,0,0,0.0,0.0,0.0,0.0,1.1669023656903736e-08,1.1669023656903736e-08
258,2.579999999999995e-05,279.3712160587311,0,0,0.0,0.0,0.0,0.0,1.1669023656922756e-08,1.1669023656922756e-08
259,2.589999999999995e-05,279.9115388393402,0,0,0.0,0.0,0.0,0.0,1.1669023656941419e-08,1.1669023656941419e-08
260,2.5999999999999948e-05,280.41589856147766,0,0,0.0,0.0,0.0,0.0,1.1669023656959842e-08,1.1669023656959842e-08
261,2.6099999999999947e-05,281.2606301307678,0,0,0.0,0.0,0.0,0.0,1.1669023656977939e-08,1.1669023656977939e-08
262,2.6199999999999946e-05,281.760865688324,0,0,0.0,0.0,0.0,0.0,1.1669023656995794e-08,1.1669023656995794e-08
263,2.6299999999999945e-05,282.25053000450134,0,0,0.0,0.0,0.0,0.0,1.1669023657013484e-08,1.1669023657013484e-08
264,2.6399999999999944e-05,282.8836841583252,0,0,0.0,0.0,0.0,0.0,1.1669023657030825e-08,1.1669023657030825e-08
265,2.6499999999999943e-05,283.70287895202637,0,0,0.0,0.0,0.0,0.0,1.1669023657047923e-08,1.1669023657047923e-08
266,2.6599999999999942e-05,284.3816351890564,0,0,0.0,0.0,0.0,0.0,1.166902365706484e-08,1.166902365706484e-08
267,2.669999999999994e-05,285.03089332580566,0,0,0.0,0.0,0.0,0.0,1.166902365708154e-08,1.166902365708154e-08
268,2.679999999999994e-05,285.80925965309143,0,0,0.0,0.0,0.0,0.0,1.1669023657097913e-08,1.1669023657097913e-08
269,2.689999999999994e-05,286.4197165966034,0,0,0.0,0.0,0.0,0.0,1.1669023657114142e-08,1.1669023657114142e-08
270,2.6999999999999938e-05,286.98957896232605,0,0,0.0,0.0,0.0,0.0,1.1669023657130006e-08,1.1669023657130006e-08
271,2.7099999999999937e-05,287.6868567466736,0,0,0.0,0.0,0.0,0.0,1.1669023657145794e-08,1.1669023657145794e-08
272,2.7199999999999936e-05,288.3239281177521,0,0,0.0,0.0,0.0,0.0,1.1669023657161196e-08,1.1669023657161196e-08
