ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
71,1.44e-07,3.57807,68921,8e+08,-2.50549e-18,-2.50549e-18,-2.50549e-18,1.3193e-14,9261,1e+08,2.9135e-17,2.9135e-17,2.9135e-17,1.66435e-11,6.02395e-11,7.68962e-11
72,1.46e-07,3.61579,68921,8e+08,-2.69136e-18,-2.69136e-18,-2.69136e-18,1.35287e-14,9261,1e+08,2.93917e-17,2.93917e-17,2.93917e-17,1.68639e-11,6.0022e-11,7.68994e-11
73,1.48e-07,3.65199,68921,8e+08,-3.23226e-18,-3.23226e-18,-3.23226e-18,1.38681e-14,9261,1e+08,2.96406e-17,2.96406e-17,2.96406e-17,1.70769e-11,5.9812e-11,7.69028e-11
74,1.5e-07,3.68774,68921,8e+08,-3.23131e-18,-3.23131e-18,-3.23131e-18,1.421e-14,9261,1e+08,2.98814e-17,2.98814e-17,2.98814e-17,1.72822e-11,5.96106e-11,7.6907e-11
75,1.52e-07,3.72332,68921,8e+08,-3.22993e-18,-3.22993e-18,-3.22993e-18,1.45559e-14,9261,1e+08,3.01142e-17,3.01142e-17,3.01142e-17,1.74796e-11,5.94166e-11,7.69107e-11
76,1.54e-07,3.76081,68921,8e+08,-3.43376e-18,-3.43376e-18,-3.43376e-18,1.49052e-14,9261,1e+08,3.03388e-17,3.03388e-17,3.03388e-17,1.7669e-11,5.92309e-11,7.69148e-11
77,1.56e-07,3.79718,68921,8e+08,-3.41725e-18,-3.41725e-18,-3.41725e-18,1.52568e-14,9261,1e+08,3.05551e-17,3.05551e-17,3.05551e-17,1.78501e-11,5.90538e-11,7.69192e-11
78,1.58e-07,3.83444,68921,8e+08,-3.53017e-18,-3.53017e-18,-3.53017e-18,1.56124e-14,9261,1e+08,3.0763e-17,3.0763e-17,3.0763e-17,1.80228e-11,5.88859e-11,7.69243e-11
79,1.6e-07,3.8695,68921,8e+08,-3.71817e-18,-3.71817e-18,-3.71817e-18,1.59718e-14,9261,1e+08,3.09624e-17,3.09624e-17,3.09624e-17,1.8187e-11,5.87261e-11,7.69291e-11
80,1.62e-07,3.90671,68921,8e+08,-3.10661e-18,-3.10661e-18,-3.10661e-18,1.63347e-14,9261,1e+08,3.11532e-17,3.11532e-17,3.11532e-17,1.83424e-11,5.85746e-11,7.69333e-11
81,1.64e-07,4.04042,68921,8e+08,-2.33977e-18,-2.33977e-18,-2.33977e-18,1.67002e-14,9261,1e+08,3.13353e-17,3.13353e-17,3.13353e-17,1.84891e-11,5.84322e-11,7.6938e-11
82,1.66e-07,4.07341,68921,8e+08,-2.63749e-18,-2.63749e-18,-2.63749e-18,1.70679e-14,9261,1e+08,3.15087e-17,3.15087e-17,3.15087e-17,1.86269e-11,5.82989e-11,7.69428e-11
83,1.68e-07,4.10669,68921,8e+08,-2.69239e-18,-2.69239e-18,-2.69239e-18,1.74391e-14,9261,1e+08,3.16733e-17,3.16733e-17,3.16733e-17,1.87556e-11,5.81746e-11,7.69477e-11
84,1.7e-07,4.13922,68921,8e+08,-2.74555e-18,-2.74555e-18,-2.74555e-18,1.78142e-14,9261,1e+08,3.18291e-17,3.18291e-17,3.18291e-17,1.88753e-11,5.80595e-11,7.69526e-11
85,1.72e-07,4.17139,68921,8e+08,-2.91291e-18,-2.91291e-18,-2.91291e-18,1.81933e-14,9261,1e+08,3.19759e-17,3.19759e-17,3.19759e-17,1.89858e-11,5.79543e-11,7.69583e-11
86,1.74e-07,4.20975,68921,8e+08,-2.87884e-18,-2.87884e-18,-2.87884e-18,1.85756e-14,9261,1e+08,3.21138e-17,3.21138e-17,3.21138e-17,1.90871e-11,5.78589e-11,7.69646e-11
87,1.76e-07,4.24411,68921,8e+08,-2.671e-18,-2.671e-18,-2.671e-18,1.89621e-14,9261,1e+08,3.22427e-17,3.22427e-17,3.22427e-17,1.91791e-11,5.77724e-11,7.69704e-11
88,1.78e-07,4.27958,68921,8e+08,-2.81737e-18,-2.81737e-18,-2.81737e-18,1.93523e-14,9261,1e+08,3.23626e-17,3.23626e-17,3.23626e-17,1.92618e-11,5.76952e-11,7.69763e-11
89,1.8e-07,4.31291,68921,8e+08,-2.80823e-18,-2.80823e-18,-2.80823e-18,1.97462e-14,9261,1e+08,3.24735e-17,3.24735e-17,3.24735e-17,1.93352e-11,5.76272e-11,7.69821e-11
90,1.82e-07,4.34719,68921,8e+08,-2.78952e-18,-2.78952e-18,-2.78952e-18,2.01443e-14,9261,1e+08,3.25753e-17,3.25753e-17,3.25753e-17,1.93994e-11,5.75683e-11,7.69878e-11
91,1.84e-07,4.48166,68921,8e+08,-2.85374e-18,-2.85374e-18,-2.85374e-18,2.05467e-14,9261,1e+08,3.2668e-17,3.2668e-17,3.2668e-17,1.94544e-11,5.75181e-11,7.6993e-11
92,1.86e-07,4.51518,68921,8e+08,-2.81179e-18,-2.81179e-18,-2.81179e-18,2.09531e-14,9261,1e+08,3.27517e-17,3.27517e-17,3.27517e-17,1.95002e-11,5.74769e-11,7.6998e-11
93,1.88e-07,4.54857,68921,8e+08,-2.77831e-18,-2.77831e-18,-2.77831e-18,2.13638e-14,9261,1e+08,3.28263e-17,3.28263e-17,3.28263e-17,1.95369e-11,5.74449e-11,7.70031e-11
94,1.9e-07,4.58166,68921,8e+08,-2.94915e-18,-2.94915e-18,-2.94915e-18,2.17788e-14,9261,1e+08,3.28919e-17,3.28919e-17,3.28919e-17,1.95646e-11,5.7423e-11,7.70093e-11
95,1.92e-07,4.61569,68921,8e+08,-2.25709e-18,-2.25709e-18,-2.25709e-18,2.21979e-14,9261,1e+08,3.29485e-17,3.29485e-17,3.29485e-17,1.95834e-11,5.74101e-11,7.70157e-11
